country,year,population,yearly_growth
Afghanistan,1952,8425333,0.0
Afghanistan,1957,9240934,9.680341417959387
Afghanistan,1962,10267083,11.104386201654508
Afghanistan,1967,11537966,12.378228558199051
Afghanistan,1972,13079460,13.360188442226297
Afghanistan,1977,14880372,13.769008812290414
Afghanistan,1982,12881816,-13.430820143474909
Afghanistan,1987,13867957,7.655294874573585
Afghanistan,1992,16317921,17.666365709094713
Afghanistan,1997,22227415,36.2147481900421
Afghanistan,2002,25268405,13.681258032029364
Afghanistan,2007,31889923,26.204732748268043
Albania,1952,1282697,0.0
Albania,1957,1476505,15.109413992548513
Albania,1962,1728137,17.042407577353277
Albania,1967,1984060,14.809184688482452
Albania,1972,2263554,14.086973176214428
Albania,1977,2509048,10.845511085664402
Albania,1982,2780097,10.802862280833208
Albania,1987,3075321,10.619197819356662
Albania,1992,3326498,8.167505115726131
Albania,1997,3428038,3.052459373190665
Albania,2002,3508512,2.347523568875258
Albania,2007,3600523,2.622507775376
Algeria,1952,9279525,0.0
Algeria,1957,10270856,10.68299293336674
Algeria,1962,11000948,7.108385123888408
Algeria,1967,12760499,15.994539743302122
Algeria,1972,14760787,15.675625224374063
Algeria,1977,17152804,16.20521317731907
Algeria,1982,20033753,16.79579035590916
Algeria,1987,23254956,16.07887947904719
Algeria,1992,26298373,13.087175912093748
Algeria,1997,29072015,10.546819759534173
Algeria,2002,31287142,7.6194477747758445
Algeria,2007,33333216,6.53966412144644
Angola,1952,4232095,0.0
Angola,1957,4561361,7.780212873293251
Angola,1962,4826015,5.8020840709604
Angola,1967,5247469,8.732960838289976
Angola,1972,5894858,12.33716673695452
Angola,1977,6162675,4.543230727525582
Angola,1982,7016384,13.852896672305452
Angola,1987,7874230,12.226326267205444
Angola,1992,8735988,10.944028812975999
Angola,1997,9875024,13.038433660852098
Angola,2002,10866106,10.036249025825153
Angola,2007,12420476,14.304756460133925
Argentina,1952,17876956,0.0
Argentina,1957,19610538,9.697299696883519
Argentina,1962,21283783,8.532376827193625
Argentina,1967,22934225,7.754457936354642
Argentina,1972,24779799,8.047248162952966
Argentina,1977,26983828,8.89445874843456
Argentina,1982,29341374,8.736884922331999
Argentina,1987,31620918,7.769043126610225
Argentina,1992,33958947,7.393931447531029
Argentina,1997,36203463,6.609498227374365
Argentina,2002,38331121,5.87694608109727
Argentina,2007,40301927,5.141529776809815
Australia,1952,8691212,0.0
Australia,1957,9712569,11.751606105109392
Australia,1962,10794968,11.14431207644445
Australia,1967,11872264,9.97961272326143
Australia,1972,13177000,10.98978257222043
Australia,1977,14074100,6.8080746755710715
Australia,1982,15184200,7.8875381019034965
Australia,1987,16257249,7.066878729205358
Australia,1992,17481977,7.5334270884329815
Australia,1997,18565243,6.19647308768339
Australia,2002,19546792,5.287024791434187
Australia,2007,20434176,4.539793537476636
Austria,1952,6927772,0.0
Austria,1957,6965860,0.5497871465746852
Austria,1962,7129864,2.3543970163052372
Austria,1967,7376998,3.4661811221083596
Austria,1972,7544201,2.266545280343034
Austria,1977,7568430,0.3211605841360802
Austria,1982,7574613,0.08169461830260702
Austria,1987,7578903,0.056636556877559294
Austria,1992,7914969,4.434230125388859
Austria,1997,8069876,1.9571396931560945
Austria,2002,8148312,0.971960411783279
Austria,2007,8199783,0.6316768430074843
Bahrain,1952,120447,0.0
Bahrain,1957,138655,15.117022424800949
Bahrain,1962,171863,23.95009195485197
Bahrain,1967,202182,17.641377143422375
Bahrain,1972,230800,14.154573602002158
Bahrain,1977,297410,28.860485268630846
Bahrain,1982,377967,27.086177330957263
Bahrain,1987,454612,20.27822534771554
Bahrain,1992,529491,16.47096865018961
Bahrain,1997,598561,13.044603213274636
Bahrain,2002,656397,9.662507246546301
Bahrain,2007,708573,7.9488480294699695
Bangladesh,1952,46886859,0.0
Bangladesh,1957,51365468,9.551949299909385
Bangladesh,1962,56839289,10.656616620333335
Bangladesh,1967,62821884,10.52545713582026
Bangladesh,1972,70759295,12.634786629449064
Bangladesh,1977,80428306,13.664651407281545
Bangladesh,1982,93074406,15.723444430123893
Bangladesh,1987,103764241,11.485257289743005
Bangladesh,1992,113704579,9.579733735054257
Bangladesh,1997,123315288,8.45235001485736
Bangladesh,2002,135656790,10.008087561697947
Bangladesh,2007,150448339,10.903655467595835
Belgium,1952,8730405,0.0
Belgium,1957,8989111,2.9632760450402933
Belgium,1962,9218400,2.550741669559982
Belgium,1967,9556500,3.6676646706586826
Belgium,1972,9709100,1.5968189190603252
Belgium,1977,9821800,1.160766703401963
Belgium,1982,9856303,0.35128998757865154
Belgium,1987,9870200,0.14099607124496882
Belgium,1992,10045622,1.77728921399769
Belgium,1997,10199787,1.534648626038288
Belgium,2002,10311970,1.0998563009207938
Belgium,2007,10392226,0.7782799988750937
Benin,1952,1738315,0.0
Benin,1957,1925173,10.749375113256228
Benin,1962,2151895,11.776707859501458
Benin,1967,2427334,12.799834564418802
Benin,1972,2761407,13.76295969157932
Benin,1977,3168267,14.733793316233355
Benin,1982,3641603,14.939902476653641
Benin,1987,4243788,16.536261640821365
Benin,1992,4981671,17.387367135210336
Benin,1997,6066080,21.767977050270883
Benin,2002,7026113,15.82625023079155
Benin,2007,8078314,14.97557753483327
Bolivia,1952,2883315,0.0
Bolivia,1957,3211738,11.390465488508887
Bolivia,1962,3593918,11.899476233740112
Bolivia,1967,4040665,12.430639764179372
Bolivia,1972,4565872,12.99803373949585
Bolivia,1977,5079716,11.254016757368582
Bolivia,1982,5642224,11.07361120188609
Bolivia,1987,6156369,9.112452820022742
Bolivia,1992,6893451,11.972674152572726
Bolivia,1997,7693188,11.60140254859286
Bolivia,2002,8445134,9.774179442904554
Bolivia,2007,9119152,7.9811403821419535
Bosnia and Herzegovina,1952,2791000,0.0
Bosnia and Herzegovina,1957,3076000,10.211393765675385
Bosnia and Herzegovina,1962,3349000,8.87516254876463
Bosnia and Herzegovina,1967,3585000,7.046879665571812
Bosnia and Herzegovina,1972,3819000,6.527196652719665
Bosnia and Herzegovina,1977,4086000,6.991358994501179
Bosnia and Herzegovina,1982,4172693,2.1217082721488008
Bosnia and Herzegovina,1987,4338977,3.9850523391009114
Bosnia and Herzegovina,1992,4256013,-1.9120636039324477
Bosnia and Herzegovina,1997,3607000,-15.24931902228682
Bosnia and Herzegovina,2002,4165416,15.481452730801221
Bosnia and Herzegovina,2007,4552198,9.285555152234496
Botswana,1952,442308,0.0
Botswana,1957,474639,7.309612306356657
Botswana,1962,512764,8.032420428999725
Botswana,1967,553541,7.952391353527159
Botswana,1972,619351,11.888911571139266
Botswana,1977,781472,26.175948694682017
Botswana,1982,970347,24.169132099422626
Botswana,1987,1151184,18.63632288243278
Botswana,1992,1342614,16.62896635116541
Botswana,1997,1536536,14.443615216287034
Botswana,2002,1630347,6.105356464150531
Botswana,2007,1639131,0.538781007969469
Brazil,1952,56602560,0.0
Brazil,1957,65551171,15.809551723455616
Brazil,1962,76039390,16.000048267635066
Brazil,1967,88049823,15.795014925816739
Brazil,1972,100840058,14.526133686833193
Brazil,1977,114313951,13.361647411983837
Brazil,1982,128962939,12.814698356458699
Brazil,1987,142938076,10.836552817705247
Brazil,1992,155975974,9.121361057077612
Brazil,1997,168546719,8.059411124433819
Brazil,2002,179914212,6.744416662302396
